experimentNumber initConf partConf #F 	 #T 	 Tr 	 Lr 	 STEP1_solution_found 	 STEP2_solution_found 
1 1 1 0 0 2.311729 1.000000 1 1
2 1 2 0 1 2.327150 0.709677 1 1
3 1 3 1 1 4.002646 1.434783 1 1
4 2 1 0 0 2.128663 1.000000 1 1
5 2 2 0 1 1.821643 0.923077 1 1
6 2 3 1 1 3.138980 0.840000 1 1
7 3 1 0 0 2.026869 1.000000 1 1
8 3 2 0 1 1.809952 0.823529 1 1
9 3 3 1 1 3.377825 0.851852 1 1
1 1 1 0 0 1.995344 1.000000 1 1
2 1 2 0 0 2.004197 1.000000 1 1
3 1 3 0 0 2.001263 1.000000 1 1
4 2 1 0 0 2.001658 1.000000 1 1
5 2 2 0 0 2.003468 1.000000 1 1
6 2 3 0 0 2.002191 1.000000 1 1
7 3 1 0 0 2.042938 1.000000 1 1
8 3 2 0 0 2.005130 1.000000 1 1
9 3 3 0 0 2.007494 1.000000 1 1
